km,price
240000,3650
240001,3649
240002,3648
240003,3647
240004,3646
240005,3645
240006,3644
240007,3643
240008,3642
240009,3641
240010,3640
240011,3639
240012,3638
240013,3637
240014,3636
240015,3635
240016,3634
240017,3633
240018,3632
240019,3631
240020,3630
240021,3629
240022,3628
240023,3627
240024,3626
240025,3625
240026,3624
240027,3623
240028,3622
240029,3621
240030,3620
240031,3619
240032,3618
240033,3617
240034,3616
240035,3615
240036,3614
240037,3613
240038,3612
240039,3611
240040,3610
240041,3609
240042,3608
240043,3607
240044,3606
240045,3605
240046,3604
240047,3603
240048,3602
240049,3601
240050,3600
240051,3599
240052,3598
240053,3597
240054,3596
240055,3595
240056,3594
240057,3593
240058,3592
240059,3591
240060,3590
240061,3589
240062,3588
240063,3587
240064,3586
240065,3585
240066,3584
240067,3583
240068,3582
240069,3581
240070,3580
240071,3579
240072,3578
240073,3577
240074,3576
240075,3575
240076,3574
240077,3573
240078,3572
240079,3571
240080,3570
240081,3569
240082,3568
240083,3567
240084,3566
240085,3565
240086,3564
240087,3563
240088,3562
240089,3561
240090,3560
240091,3559
240092,3558
240093,3557
240094,3556
240095,3555
240096,3554
240097,3553
240098,3552
240099,3551
240100,3550
240101,3549
240102,3548
240103,3547
240104,3546
240105,3545
240106,3544
240107,3543
240108,3542
240109,3541
240110,3540
240111,3539
240112,3538
240113,3537
240114,3536
240115,3535
240116,3534
240117,3533
240118,3532
240119,3531
240120,3530
240121,3529
240122,3528
240123,3527
240124,3526
240125,3525
240126,3524
240127,3523
240128,3522
240129,3521
240130,3520
240131,3519
240132,3518
240133,3517
240134,3516
240135,3515
240136,3514
240137,3513
240138,3512
240139,3511
240140,3510
240141,3509
240142,3508
240143,3507
240144,3506
240145,3505
240146,3504
240147,3503
240148,3502
240149,3501
240150,3500
240151,3499
240152,3498
240153,3497
240154,3496
240155,3495
240156,3494
240157,3493
240158,3492
240159,3491
240160,3490
240161,3489
240162,3488
240163,3487
240164,3486
240165,3485
240166,3484
240167,3483
240168,3482
240169,3481
240170,3480
240171,3479
240172,3478
240173,3477
240174,3476
240175,3475
240176,3474
240177,3473
240178,3472
240179,3471
240180,3470
240181,3469
240182,3468
240183,3467
240184,3466
240185,3465
240186,3464
240187,3463
240188,3462
240189,3461
240190,3460
240191,3459
240192,3458
240193,3457
240194,3456
240195,3455
240196,3454
240197,3453
240198,3452
240199,3451
240200,3450
240201,3449
240202,3448
240203,3447
240204,3446
240205,3445
240206,3444
240207,3443
240208,3442
240209,3441
240210,3440
240211,3439
240212,3438
240213,3437
240214,3436
240215,3435
240216,3434
240217,3433
240218,3432
240219,3431
240220,3430
240221,3429
240222,3428
240223,3427
240224,3426
240225,3425
240226,3424
240227,3423
240228,3422
240229,3421
240230,3420
240231,3419
240232,3418
240233,3417
240234,3416
240235,3415
240236,3414
240237,3413
240238,3412
240239,3411
240240,3410
240241,3409
240242,3408
240243,3407
240244,3406
240245,3405
139800,3800
150500,4400
185530,4450
176000,5250
114800,5350
166800,5800
89000,5990
144500,5999
84000,6200
82029,6390
63060,6390
74000,6600
97500,6800
67000,6800
76025,6900
48235,6900
93000,6990
60949,7490
65674,7555
54000,7990
68500,7990
22899,7990
61789,8290
